lexical_item,frequency,log_frequency,syllable_length,source_file,keep_status,filter_reason,warning_flag
loại sản phẩm,10,2.302585092994046,3,trigrams_frequency.csv,keep,kept_after_rule_filter,
máy hút khói,10,2.302585092994046,3,trigrams_frequency.csv,keep,kept_after_rule_filter,
máy điều hòa,10,2.302585092994046,3,trigrams_frequency.csv,keep,kept_after_rule_filter,
suốt cuộc đời,10,2.302585092994046,3,trigrams_frequency.csv,keep,kept_after_rule_filter,
chênh lệch học,12,2.4849066497880004,3,trigrams_frequency.csv,keep,kept_after_rule_filter,
mất niềm tin,12,2.4849066497880004,3,trigrams_frequency.csv,keep,kept_after_rule_filter,
trình độ học,12,2.4849066497880004,3,trigrams_frequency.csv,keep,kept_after_rule_filter,
loại thực phẩm,13,2.5649493574615367,3,trigrams_frequency.csv,keep,kept_after_rule_filter,
máy hút bụi,13,2.5649493574615367,3,trigrams_frequency.csv,keep,kept_after_rule_filter,
máy vi tính,13,2.5649493574615367,3,trigrams_frequency.csv,keep,kept_after_rule_filter,
mất lòng tin,13,2.5649493574615367,3,trigrams_frequency.csv,keep,kept_after_rule_filter,
nghiệp đại học,13,2.5649493574615367,3,trigrams_frequency.csv,keep,kept_after_rule_filter,
thị trường hiện,13,2.5649493574615367,3,trigrams_frequency.csv,keep,kept_after_rule_filter,
nước mắm ngon,14,2.6390573296152584,3,trigrams_frequency.csv,keep,kept_after_rule_filter,
pháp can thiệp,15,2.70805020110221,3,trigrams_frequency.csv,keep,kept_after_rule_filter,
sử dụng máy,15,2.70805020110221,3,trigrams_frequency.csv,keep,kept_after_rule_filter,
máy nghe nhạc,18,2.8903717578961645,3,trigrams_frequency.csv,keep,kept_after_rule_filter,
nước cốt dừa,18,2.8903717578961645,3,trigrams_frequency.csv,keep,kept_after_rule_filter,
nước vo gạo,28,3.332204510175204,3,trigrams_frequency.csv,keep,kept_after_rule_filter,
nhà sản xuất,42,3.737669618283368,3,trigrams_frequency.csv,keep,kept_after_rule_filter,
chống bán phá giá,3,1.0986122886681098,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
cá rô tổng trường,3,1.0986122886681098,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
công nghiệp tân tạo,3,1.0986122886681098,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
công ty mỹ phẩm,3,1.0986122886681098,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
công ty sản xuất,3,1.0986122886681098,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
cơ sở sản xuất,3,1.0986122886681098,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
cửa hàng thực phẩm,3,1.0986122886681098,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
dịch vụ tẩy lông,3,1.0986122886681098,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
giá trung bình đồng,3,1.0986122886681098,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
giá đồng nước hoa,3,1.0986122886681098,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
luật chính quyền địa,3,1.0986122886681098,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
luật chống bán phá,3,1.0986122886681098,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
luật tố tụng hình,3,1.0986122886681098,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
máy ghi âm đa,3,1.0986122886681098,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
máy hút khói khử,3,1.0986122886681098,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
máy nước nóng trực,3,1.0986122886681098,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
máy sinh tố xay,3,1.0986122886681098,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
máy đo huyết áp,3,1.0986122886681098,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
môi trường bên ngoài,3,1.0986122886681098,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
nghiên cứu khoa học,3,1.0986122886681098,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
nước mắm dầu hào,3,1.0986122886681098,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
siêu thị cửa hàng,3,1.0986122886681098,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
tai nạn lao động,3,1.0986122886681098,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
thị trường kiểu dáng,3,1.0986122886681098,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
việt nam sản xuất,3,1.0986122886681098,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
văn hóa ẩm thực,3,1.0986122886681098,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
đánh mất lòng tin,3,1.0986122886681098,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
định kiến xã hội,3,1.0986122886681098,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
đồng sử dụng máy,3,1.0986122886681098,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
cửa hàng hoa tươi,4,1.3862943611198906,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
diễn đàn quốc tế,4,1.3862943611198906,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
khu công nghiệp tân,4,1.3862943611198906,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
máy sấy thế hệ,4,1.3862943611198906,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
nhà hàng sang trọng,4,1.3862943611198906,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
nước uống thể thao,4,1.3862943611198906,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
quan hệ xã hội,4,1.3862943611198906,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
thị trường chủ yếu,4,1.3862943611198906,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
thủ công mỹ nghệ,4,1.3862943611198906,4,fourgrams_frequency.csv,keep,kept_after_rule_filter,
