lexical_item,frequency,log_frequency,syllable_length,source_file,keep_status,filter_reason,warning_flag
nylon,10,2.302585092994046,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
nhan,10,2.302585092994046,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
loggia,10,2.302585092994046,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
yahoo,10,2.302585092994046,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
italy,10,2.302585092994046,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
phai,10,2.302585092994046,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
hoan,10,2.302585092994046,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
massage,10,2.302585092994046,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
sushi,9,2.19722457733622,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
israel,9,2.19722457733622,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
thoi,9,2.19722457733622,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
khuynh,9,2.19722457733622,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
getcookie,9,2.19722457733622,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
trim,9,2.19722457733622,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
khoang,9,2.19722457733622,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
yela,8,2.079441541679836,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
picnic,8,2.079441541679836,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
inch,8,2.079441541679836,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
gillette,8,2.079441541679836,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
gram,8,2.079441541679836,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
chum,8,2.079441541679836,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
simili,8,2.079441541679836,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
bung,8,2.079441541679836,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
phone,8,2.079441541679836,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
phao,8,2.079441541679836,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
highlands,8,2.079441541679836,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
thuong,8,2.079441541679836,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
thoang,7,1.9459101490553128,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
tang,7,1.9459101490553128,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
halogen,7,1.9459101490553128,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
national,7,1.9459101490553128,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
gali,7,1.9459101490553128,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
euro,7,1.9459101490553128,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
shock,7,1.9459101490553128,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
pasteur,7,1.9459101490553128,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
dong,7,1.9459101490553128,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
saigon,7,1.9459101490553128,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
thui,6,1.791759469228055,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
malaysia,6,1.791759469228055,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
khan,6,1.791759469228055,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
share,6,1.791759469228055,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
blue,6,1.791759469228055,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
polynum,6,1.791759469228055,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
hung,6,1.791759469228055,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
shiseido,6,1.791759469228055,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
catalogue,6,1.791759469228055,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
protein,6,1.791759469228055,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
miti,6,1.791759469228055,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
visitor,6,1.791759469228055,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
viqr,6,1.791759469228055,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
toilet,6,1.791759469228055,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
semail,6,1.791759469228055,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
nhap,6,1.791759469228055,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
vina,6,1.791759469228055,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
thon,6,1.791759469228055,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
video,6,1.791759469228055,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
samsung,6,1.791759469228055,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
